Vault_Number,Location,State,Experiment_Type,Starting_Population,Current_Status,Overseer,Survivor_Count,Year_Sealed,Radiation_Level,Water_Chip_Status,Power_Source,Fatality_Rate,Threat_Level,Vault_Size_SqFt,Food_Source,Medical_Facilities,Armory_Status,Notable_Residents,Notable_Events,Experiment_Category,Containment_Breach,Game_Appearance
Vault 29,Rocky Mountains,Colorado,Only children under 15 admitted - raised by ZAX supercomputer,200,Active - isolationist,ZAX supercomputer,Children now adults,2077,Low,Functional,Nuclear,5%,Medium,50000,Hydroponic farms,Full,Locked,Harold - ZAX,ZAX raised children on a diet of pre-war radical environmentalism,AI Control,No,Fallout 2
Vault 31,Washington DC area,Virginia,Connected to Vaults 32 and 33 - frozen Vault-Tec employees,Unknown,Active,Bud Askins (cryogenic),Unknown,2077,Low,Functional,Nuclear,Unknown,High,60000,Hydroponic farms,Full,Restricted,Bud Askins - Moldaver,Vault-Tec executives frozen to emerge and lead other vaults after war,Corporate,No,Fallout TV Series
Vault 32,Shady Sands,California,Connected to Vaults 31 and 33 - prisoner exchange,150,Destroyed,Unknown (deceased),None,2077,Low,Destroyed,Failed,100%,Critical,55000,Hydroponic farms,Basic,Destroyed,None,Population died - outsiders infiltrated and pretended to be residents,Social,Yes,Fallout TV Series
Vault 33,Shady Sands,California,Connected to Vaults 32 and 34 for prisoner exchange,150,Active,Hank MacLean,~100,2077,Low,Functional,Nuclear,30%,Medium,55000,Hydroponic farms,Basic,Locked,Lucy MacLean - Hank MacLean,Raided by surface dwellers - Lucy MacLean leaves to find her father,Social,Yes,Fallout TV Series
Vault 34,Nevada,Nevada,Overstocked with weapons - armory never locked,500,Flooded and abandoned,Unknown (deceased),Few feral ghouls,2077,High,Flooded,Failed,98%,Critical,60000,Hydroponic farms,Basic,Overflowing,None,Conflicts over weapons led to civil war - reactor breach flooded the vault,Military,Yes,Fallout New Vegas
Vault 36,Unknown,Unknown,Food dispensers only produced thin gruel,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Unknown,Unknown,Gruel dispensers only,Unknown,Unknown,None,Chronic malnutrition experiment - long term health effects studied,Biological,Unknown,Fallout lore
Vault 39,Unknown,Unknown,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Referenced in lore documents only,Unknown,Unknown,Fallout lore
Vault 42,Unknown,Unknown,No light bulbs above 40 watts provided,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Medium,Unknown,Hydroponic farms,Unknown,Unknown,None,Permanent low-light environment to study psychological effects of darkness,Psychological,Unknown,Fallout lore
Vault 43,Unknown,Unknown,20 men - 10 women - and one panther,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,High,Unknown,Hydroponic farms,Unknown,Unknown,None,Bizarre social experiment involving a live panther in close quarters,Social,Unknown,Fallout lore
Vault 44,Unknown,Unknown,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Referenced in lore documents only,Unknown,Unknown,Fallout lore
Vault 51,West Virginia,West Virginia,ZAX AI controls vault - residents compete for Overseer role,85,Abandoned,ZAX 1.3c,None,2077,Low,Non-functional,Nuclear,100%,Critical,45000,Hydroponic farms,Basic,Locked,ZAX 1.3c,ZAX manipulated residents into killing each other - no one ever became Overseer,AI Control,Yes,Fallout 76
Vault 52,Unknown,Unknown,Only one working musical instrument - residents compete for it,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Medium,Unknown,Hydroponic farms,Unknown,Unknown,None,Resource scarcity focused on cultural object rather than survival item,Psychological,Unknown,Fallout lore
Vault 55,Unknown,Unknown,All entertainment removed,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,High,Unknown,Hydroponic farms,Unknown,Unknown,None,Total sensory deprivation of entertainment - psychological impact study,Psychological,Unknown,Fallout lore
Vault 56,Unknown,Unknown,All entertainment removed except one comedian,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Medium,Unknown,Hydroponic farms,Unknown,Unknown,None,Control for Vault 55 - single entertainment source for entire population,Psychological,Unknown,Fallout lore
Vault 63,West Virginia,West Virginia,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Low,Unknown,Nuclear,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Located in West Virginia - details sketchy,Unknown,Unknown,Fallout 76
Vault 65,West Virginia,West Virginia,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Low,Unknown,Nuclear,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Located in West Virginia - details sketchy,Unknown,Unknown,Fallout 76
Vault 68,Unknown,Unknown,999 men and one woman,1000,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Critical,Unknown,Hydroponic farms,Unknown,Unknown,None,Extreme gender imbalance - companion experiment to Vault 69,Social,Unknown,Fallout lore
Vault 69,Unknown,Unknown,999 women and one man,1000,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Critical,Unknown,Hydroponic farms,Unknown,Unknown,None,Extreme gender imbalance - companion experiment to Vault 68,Social,Unknown,Fallout lore
Vault 70,Unknown,Unknown,All jumpsuit zippers broken - replacement parts not provided,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Nuclear,Unknown,Low,Unknown,Hydroponic farms,Unknown,Unknown,None,Minor discomfort experiment - quality of life degradation study,Psychological,Unknown,Fallout lore
Vault 75,Boston area,Massachusetts,Orphanage front - children used for combat enhancement experiments,346,Destroyed,Dr. Bernard Langerhuizen,None,2077,Low,Destroyed,Nuclear,100%,Critical,40000,Military rations,Military grade,Military,None,Children were murdered at age 18 after combat testing - facility wiped out by Institute,Military,Yes,Fallout 4
Vault 76,Appalachia,West Virginia,Control vault - opened on schedule 25 years post-war,500,Opened,The Overseer,Reclamation Day survivors,2077,Low,Functional,Nuclear,20%,Low,80000,Hydroponic farms,Full,Locked,The Overseer,Opened on Reclamation Day 2102 - residents sent to reclaim Appalachia,Control,No,Fallout 76
Vault 79,Appalachia,West Virginia,Gold bullion storage - Federal Reserve experiment,Unknown,Active - gold intact,Unknown,Unknown,2077,Low,Functional,Nuclear,Unknown,High,70000,Military rations,Basic,Heavily armed,None,Contained massive Federal Reserve gold supply - multiple factions sought access,Economic,No,Fallout 76
Vault 81,Boston suburbs,Massachusetts,Secret disease and cure experiments on residents,1000,Active,Overseer McNamara,~50,2077,None,Functional,Nuclear,95%,Low,65000,Hydroponic farms,Advanced,Locked,Curie - Austin Engill,Only one scientist sabotaged the experiment - vault survived but population decimated,Biological,No,Fallout 4
Vault 87,Mount Weather area,Virginia,Forced Evolution Virus FEV mutation experiments,1000,Irradiated,Unknown (deceased),Super Mutant horde,2077,Extreme,Destroyed,Failed,100% human,Critical,70000,None,None,Destroyed,None,All residents forcibly mutated into Super Mutants - vault unapproachable due to radiation,Biological,Yes,Fallout 3
Vault 88,Boston area,Massachusetts,Prototype machine testing on residents - never completed,Unknown,Unfinished,Overseer Barstow,None,2077,None,Partial,Partial,N/A - never populated,Low,90000,Unfinished,Unfinished,Unfinished,Overseer Barstow,Construction never completed - player builds and runs experiments themselves,Social,No,Fallout 4 DLC
Vault 92,Vermont,New England,White noise psychological experiments on musicians,150,Abandoned,Unknown (deceased),None,2077,Low,Destroyed,Nuclear,100%,Critical,45000,Hydroponic farms,Basic,Destroyed,None,White noise drove residents to violent insanity - total population loss,Psychological,Yes,Fallout 3
Vault 94,West Virginia,West Virginia,No food or water provided - residents must use GECK to survive,Unknown,Flooded and irradiated,Unknown (deceased),None,2077,Extreme,Flooded,Failed,100%,Critical,55000,None - GECK dependent,None,Destroyed,None,Residents unable to use GECK effectively - vault breached and irradiated,Survival,Yes,Fallout 76
Vault 95,Glowing Sea edge,Massachusetts,Addiction recovery vault with hidden drug cache released after 10 years,85,Overrun by Gunners,Unknown (deceased),None,2077,Low,Destroyed,Nuclear,100%,Critical,35000,Hydroponic farms,Medical,Destroyed,None,Hidden Jet cache revealed after 10 years - residents relapsed and destroyed themselves,Psychological,Yes,Fallout 4
Vault 96,West Virginia,West Virginia,Cryogenic preservation of animal genetic samples,Unknown,Active - automated,Automated systems,Frozen animals,2077,Low,Functional,Nuclear,N/A,Medium,60000,Automated,Automated,Sealed,None,Animals preserved for post-war ecosystem restoration - still sealed,Biological,No,Fallout 76
Vault 101,Washington DC suburbs,Virginia,Sealed forever - never meant to interact with outside world,1000,Contested,Alphonse Almodovar,~50,2077,Low,Functional,Nuclear,50%,Medium,75000,Hydroponic farms,Full,Locked,James - The Lone Wanderer - Amata,Lone Wanderer's escape triggered social crisis - Overseer sealed vault permanently,Isolation,Yes,Fallout 3
Vault 106,Washington DC area,Virginia,Psychoactive drugs pumped into air supply after 10 days,150,Abandoned,Unknown (deceased),Feral inhabitants,2077,Low,Destroyed,Nuclear,99%,High,40000,Hydroponic farms,None,Destroyed,None,Drug-induced psychosis made entire population feral and violent,Psychological,Yes,Fallout 3
Vault 108,Washington DC area,Virginia,Only one cloning pod - Gary cloned 54 times,12,Overrun by Gary clones,Unknown (deceased - Gary),Gary clones only,2077,Low,Partial,Nuclear,99% non-Gary,Critical,50000,Hydroponic farms,None,Destroyed,Gary (x54),Clones of Gary eventually murdered all other residents - vault full of murderous Garys,Biological,Yes,Fallout 3
Vault 111,Sanctuary Hills,Massachusetts,Cryogenic suspension without resident knowledge,~1000 surface queue,Abandoned,Unknown (deceased),1 - The Sole Survivor,2077,None,Functional,Nuclear,99.9%,Low,55000,None - cryogenic,Basic,Locked,Nate/Nora - Shaun,Residents frozen indefinitely - staff abandoned vault - Sole Survivor wakes 210 years later,Cryogenic,No,Fallout 4
Vault 112,Washington DC suburbs,Virginia,Residents placed in VR simulation indefinitely by Stanislaus Braun,85,Active - VR trapped,Stanislaus Braun,Trapped in VR,2077,None,Functional,Nuclear,0% physical,Critical,40000,VR simulated,VR simulated,Locked,Stanislaus Braun,Braun traps residents in Tranquility Lane VR forever - tortures them for amusement,Psychological,No,Fallout 3
Vault 114,Boston area,Massachusetts,Working class residents placed under insufferable upper-class Overseer,80,Unfinished - never opened,Overseer Chamberlin (hired),N/A,2077,None,N/A,N/A,N/A - never opened,Low,35000,N/A,N/A,N/A,Nick Valentine,Construction nearly complete when bombs fell - never officially opened - used by Triggermen,Social,No,Fallout 4
